Concepto,Definición,Etapa,Errores frecuentes
Diagnóstico,"Proceso participativo para identificar necesidades sociales, problemas públicos y sus causas, incorporando alternativas de solución.",Diseño,Reducirlo solo a descripción; no incluir alternativas de solución; no consultar actores relevantes
Estudios de determinación,"Análisis de políticas existentes para identificar planes, programas y proyectos sobrantes y faltantes, y formular recomendaciones.",Análisis,Confundirlos con evaluación de impacto; omitir comparación entre lo existente y las necesidades
Control de gestión,Procedimiento durante la ejecución para identificar fallas y corregirlas oportunamente.,Gestión,Confundirlo con evaluación; usarlo para analizar diseño en lugar de ejecución
Evaluación,Estimación del impacto real de una política pública a partir de la satisfacción social y la aceptación ciudadana.,Evaluación,Usarla como insumo de gestión; confundir impacto con ejecución
Impacto deficitario,Situación en la que los resultados alcanzados están por debajo de los esperados según planificadores y gobernantes.,Evaluación,Medirlo solo con percepción ciudadana; confundirlo con rechazo social
Necesidades sociales,"Carencias objetivas de la sociedad que afectan el bien común, independientemente de que sean demandadas o no.",Diagnóstico,Equipararlas a demandas; ignorar necesidades no visibilizadas
Demandas sociales,"Reclamos explícitos realizados por actores sociales, que pueden o no responder a necesidades reales.",Diagnóstico,Asumir que toda demanda es una necesidad social
Principio de subsidiariedad,Criterio según el cual el Estado interviene solo cuando personas u organizaciones no pueden resolver problemas por sí mismas.,Diseño,Usarlo para justificar ausencia total del Estado o suplantar a la sociedad
Políticas públicas (modelo relacional),Planes y actividades diseñadas y gestionadas por el Estado junto con actores privados y ciudadanos para el bien común.,Transversal,Reducirlas a acciones de gobierno o de la administración בלבד
Aceptación ciudadana,Grado de aprobación social de una política pública por parte de los destinatarios.,Evaluación,Suponer que siempre coincide con la satisfacción social
Satisfacción social,Grado en que una política pública resuelve
